"name","year","undergraduate_enrollment","tuition_and_fees_2018_19","institution_size_category","level_of_institution","degree_of_urbanization_urban_centric_locale","mean_enrollment","mean_african_american","mean_asian","mean_hispanic","mean_white","mean_women","mean_admitted","quantiles_women","quantiles_admission"
"Cox College",2018,699,11920,"Under 1,000","Four or more years","City",745.666666666667,1.77777777777778,1.55555555555556,1.66666666666667,91,87,75.2222222222222,"75 to 100%","75 to 100%"
"Conception Seminary College",2018,64,22379,"Under 1,000","Four or more years","Rural",94.3333333333333,0.888888888888889,7.11111111111111,17,70.4444444444444,2,97.3333333333333,"0 to 24%","75 to 100%"
"Cottey College",2018,271,21160,"Under 1,000","Four or more years","Town",291.444444444444,5.11111111111111,1.11111111111111,9.33333333333333,66.2222222222222,100,64.5555555555556,"75 to 100%","25 to 49%"
"University of Missouri-Columbia",2018,22484,9972,"20,000 and above","Four or more years","City",25811.8888888889,7.77777777777778,2.22222222222222,3.44444444444444,79.3333333333333,52,78.7777777777778,"50 to 74%","75 to 100%"
"Southwest Baptist University",2018,2664,24078,"1,000 - 4,999","Four or more years","Town",2907,4.55555555555556,0.888888888888889,1.77777777777778,72.5555555555556,64,82.5555555555556,"50 to 74%","50 to 74%"
"William Woods University",2018,935,24110,"1,000 - 4,999","Four or more years","Town",1008,4.22222222222222,0.777777777777778,2.33333333333333,81,73,74.6666666666667,"50 to 74%","50 to 74%"
"Rocky Mountain College",2018,897,28572,"Under 1,000","Four or more years","City",937.666666666667,2.44444444444444,1,4.44444444444444,79.6666666666667,49,63.7777777777778,"25 to 49%","50 to 74%"
"Creighton University",2018,4446,39916,"5,000 - 9,999","Four or more years","City",4177.66666666667,2.66666666666667,9.33333333333333,7,72.4444444444444,58,74.2222222222222,"50 to 74%","50 to 74%"
"Nebraska Methodist College of Nursing & Allied Health",2018,775,16308,"1,000 - 4,999","Four or more years","City",761.888888888889,3.88888888888889,1.77777777777778,3.66666666666667,84.3333333333333,90,51.3333333333333,"75 to 100%","75 to 100%"
"Nebraska Christian College of Hope International University",2018,134,17665,"Under 1,000","Four or more years","Rural",136.777777777778,6.44444444444444,0.777777777777778,5,80.8888888888889,44,59.3333333333333,"25 to 49%","25 to 49%"
